sample_index,timestamp_s,omega_x,omega_y,omega_z,acc_x,acc_y,acc_z
0,0.013728618622,-0.135279014707,0.100301757455,0.014154713601,-2.661122083664,1.196920156479,12.976043701172
1,0.019389629364,-0.202799707651,0.134897664189,0.029909921810,-3.523728370667,2.190739870071,12.172315597534
2,0.025831699371,-0.183918431401,-0.031239563599,0.023388303816,-2.044624090195,-1.758298397064,10.566694259644
3,0.039249897003,-0.062680289149,-0.160650104284,0.012924798764,-2.569838762283,-2.101183414459,11.493768692017
4,0.049689769745,0.127518072724,-0.201835438609,0.006547980011,-0.659155488014,-4.387199401855,8.560391426086
5,0.055782794952,0.205102249980,-0.144693225622,-0.013477182016,1.018273353577,-5.889983654022,6.747255325317
6,0.070109844208,0.192685514688,-0.036455102265,-0.032126508653,0.790477871895,-1.513913154602,4.438730239868
7,0.079354524612,0.075620800257,0.024062821642,-0.025444887578,-0.326049894094,2.209530115128,8.314237594604
8,0.086849212646,-0.036437518895,0.071138069034,-0.016412533820,0.089620657265,4.001553535461,8.701560974121
9,0.107681989670,-0.166602596641,0.015796691179,-0.010754335672,0.562712848186,3.613241910934,7.861270904541
10,0.109256744385,-0.201950758696,-0.004754711874,-0.017216524109,0.307675361633,1.533132314682,9.092318534851
11,0.116925239563,-0.163048684597,-0.024128565565,-0.025289248675,0.938526988029,-0.837231040001,9.469572067261
12,0.131853818893,-0.027100687847,-0.057444948703,-0.036993615329,1.678883075714,-1.947545170784,9.495903968811
13,0.139529466629,0.118123576045,-0.050738092512,-0.021890794858,1.903359532356,-1.472503185272,8.917902946472
14,0.145791053772,0.181794285774,-0.014894645661,0.002005499788,2.038775205612,1.864638566971,9.830035209656
15,0.159352540970,0.143879249692,-0.012547963299,0.021288484335,2.917029142380,2.267722368240,8.264583587646
16,0.174204587936,0.052382584661,-0.039061892778,0.035307109356,3.056687355042,2.982007503510,8.711919784546
17,0.175940990448,-0.042847421020,0.002033537487,0.044448751956,2.611788749695,0.905063509941,10.567615509033
18,0.189758062363,-0.076095037162,0.004631605465,0.043682955205,3.511524677277,0.370097965002,8.811649322510
19,0.203624010086,-0.050319809467,-0.042865302414,0.036416858435,3.601253509521,-0.949592232704,9.251084327698
20,0.212585926056,-0.037315916270,-0.022616863251,0.026986610144,3.644227027893,-0.920617401600,9.498409271240
21,0.219166278839,-0.008516837843,0.012502495199,0.020914256573,4.368989467621,-0.515432178974,8.349078178406
22,0.229123592377,-0.060349907726,0.005916985683,0.033301103860,4.263439178467,-0.085386551917,8.787302017212
23,0.236089706421,-0.102940790355,0.051617443562,0.029278561473,1.437643885612,-2.755638122559,9.204949378967
24,0.249453544617,0.121157817543,0.135914787650,0.044414345175,-2.140553474426,-3.110229015350,13.845111846924
25,0.259301900864,-0.446684151888,-0.046476893127,0.067373618484,-3.669007778168,0.826003074646,8.611853599548
26,0.266031503677,-0.006169360597,-0.228219434619,0.035948731005,-0.681790292263,-3.510561704636,6.144302368164
27,0.279085159302,-0.005082149990,-0.069880813360,0.069974377751,0.851672410965,1.264592885971,-4.152853965759
28,0.294639348984,0.155226409435,0.141790702939,0.003559559584,-2.932452678680,-0.055596400052,9.515596389771
29,0.296282291412,0.087754383683,0.327522605658,0.058591920882,-4.051938056946,-1.869275331497,16.105558395386
30,0.309264898300,0.196787357330,0.088515758514,0.019547568634,-2.741706371307,1.950183153152,9.749816894531
31,0.319398164749,0.171264290810,0.000178314804,-0.046527743340,-4.913712978363,2.432200193405,17.062728881836
32,0.326031684875,0.048832803965,-0.019196484238,-0.040403962135,-2.248801469803,0.715106666088,11.131264686584
33,0.339131832123,-0.106748752296,-0.199930623174,-0.039231952280,-2.951718568802,1.348121047020,11.876338958740
34,0.349422693253,-0.205064266920,-0.102908946574,-0.041849974543,-2.355728149414,1.823448896408,11.217644691467
35,0.356341362000,-0.173117622733,0.038084056228,-0.005903188605,0.636534929276,-0.990874111652,5.475923538208
36,0.369203329086,-0.011251138523,0.085843048990,-0.007096288260,-1.789320588112,-1.607641220093,11.135081291199
37,0.379124164581,0.139711141586,0.179367482662,-0.009714284912,-1.998205304146,-2.341641902924,11.101176261902
38,0.386081695557,0.229754999280,0.117579467595,0.003600317053,-2.059394121170,-0.218168735504,9.942203521729
39,0.399626016617,0.236330911517,0.029639765620,0.000356968492,-3.962294101715,1.405626058578,15.227104187012
40,0.412769079208,0.092938169837,-0.077088415623,0.016340043396,-2.012580871582,1.649341344833,11.075708389282
41,0.427982568741,-0.116318464279,-0.185898229480,0.011434054002,-0.651828885078,1.361322283745,8.769281387329
42,0.432335376740,-0.221220940351,-0.188118875027,-0.000323351938,0.306770116091,0.053770322353,7.705526828766
43,0.440350055695,-0.209683045745,-0.057987909764,0.027011314407,0.705679953098,-3.146824598312,6.137405395508
44,0.446022510529,-0.123460009694,0.018303146586,0.043089538813,1.193769812584,-1.535241246223,4.877007484436
45,0.459131956100,0.029469454661,0.112101912498,0.048065118492,0.181294828653,-0.981784164906,8.935417175293
46,0.469100952148,0.089893855155,0.030528681353,0.040558405221,0.249152764678,0.463007777929,8.866804122925
47,0.480442047119,0.091557800770,-0.022810801864,0.041477654129,-0.352394193411,1.293440580368,10.149463653564
48,0.490910053253,0.001332248328,0.000398796401,0.046575013548,0.415753483772,1.338479399681,9.694642066956
49,0.502472162247,-0.058652833104,-0.033089742064,0.038949731737,1.543801903725,0.352841466665,7.766340732574
50,0.509319782257,-0.107862003148,-0.073922209442,0.036097854376,2.185119867325,-0.184333607554,7.419337272644
51,0.525720119476,-0.114790670574,-0.078029863536,0.007521557622,2.108139753342,-0.110199257731,8.931733131409
52,0.534776210785,-0.079333744943,-0.027309525758,-0.002898410428,3.254991531372,-0.617313444614,7.339478969574
53,0.543816566467,-0.017665613443,-0.052435599267,-0.020936863497,2.652422428131,-1.025877356529,10.153508186340
54,0.550705432892,0.037845846266,-0.022941676900,-0.021124280989,2.994895935059,-0.644367814064,8.454226493835
55,0.559508562088,0.066949516535,-0.032382447273,-0.022662192583,3.214373111725,0.159452036023,9.721073150635
56,0.565796375275,0.067745357752,-0.013047115877,-0.031549315900,3.083803653717,0.721036255360,9.953798294067
57,0.584250926971,0.037013869733,-0.023180281743,-0.029301209375,3.751690387726,-0.082699820399,9.196986198425
58,0.592075586319,0.052010722458,-0.043276403099,-0.027435204014,3.765903472900,0.451608955860,9.506839752197
59,0.596264362335,0.058613620698,0.012292808853,-0.015307964757,4.684767723083,-0.448229819536,6.890188694000
60,0.609093189240,-0.017755970359,-0.099185414612,-0.035555556417,-1.188562273979,0.293875753880,22.358800888062
61,0.619581699371,-0.116006381810,0.064806275070,-0.034986227751,0.983519434929,12.275199890137,0.950403928757
