event_index,timestamp_s,foot_index,foot_name,is_new_contact,body_x,body_y,body_z
22,1.881243467331,3,RR,0,-0.262570798397,-0.086885854602,-0.518989682198
23,2.001293897629,0,FL,0,0.240204885602,0.083810821176,-0.517478048801
23,2.001293897629,3,RR,0,-0.358725726604,-0.090300440788,-0.524520874023
24,2.101995944977,1,FR,1,0.461929619312,-0.075614035130,-0.515089809895
24,2.101995944977,2,RL,1,-0.133450001478,0.094303041697,-0.512395560741
25,2.202790498734,1,FR,0,0.363359987736,-0.077768653631,-0.513408184052
25,2.202790498734,2,RL,0,-0.230811387300,0.092426314950,-0.513178884983
26,2.313688039780,1,FR,0,0.284152925014,-0.081760868430,-0.518434345722
26,2.313688039780,2,RL,0,-0.309818625450,0.089493930340,-0.518910050392
27,2.423068761826,1,FR,0,0.186182782054,-0.085195712745,-0.515119373798
27,2.423068761826,2,RL,0,-0.407647907734,0.086299344897,-0.516384363174
28,2.476716995239,0,FL,1,0.455607891083,0.077332913876,-0.511067509651
28,2.476716995239,3,RR,1,-0.143255352974,-0.095006547868,-0.518696427345
29,2.577619791031,0,FL,0,0.361758947372,0.078355506063,-0.511793613434
29,2.577619791031,3,RR,0,-0.236571997404,-0.092180326581,-0.519552409649
30,2.679828166962,0,FL,0,0.275832533836,0.081247672439,-0.518930435181
30,2.679828166962,3,RR,0,-0.323284864426,-0.090992495418,-0.527277648449
31,2.784583806992,0,FL,0,0.201149299741,0.083805054426,-0.516697406769
31,2.784583806992,3,RR,0,-0.399160683155,-0.089418768883,-0.524490773678
32,2.836443901062,0,FL,0,0.122606962919,0.083664804697,-0.508206844330
32,2.836443901062,1,FR,1,0.464150339365,-0.088011331856,-0.516784667969
32,2.836443901062,2,RL,1,-0.131242007017,0.080633699894,-0.511543214321
32,2.836443901062,3,RR,0,-0.476735442877,-0.089268557727,-0.513365745544
33,2.945614337921,1,FR,0,0.365592181683,-0.087781116366,-0.514637053013
33,2.945614337921,2,RL,0,-0.228011727333,0.082681313157,-0.512254536152
34,3.049666166306,1,FR,0,0.290790259838,-0.087933123112,-0.519522786140
34,3.049666166306,2,RL,0,-0.302900850773,0.083982318640,-0.517714083195
35,3.160518407822,1,FR,0,0.197296395898,-0.090331576765,-0.517170667648
35,3.160518407822,2,RL,0,-0.396225839853,0.082223623991,-0.516543447971
36,3.209774732590,1,FR,0,0.131143093109,-0.089209973812,-0.511114835739
36,3.209774732590,2,RL,0,-0.461506277323,0.084254354239,-0.509140133858
36,3.209774732590,3,RR,1,-0.129310011864,-0.095322780311,-0.514577329159
37,3.223402976990,0,FL,1,0.450585603714,0.076105281711,-0.512033641338
37,3.223402976990,3,RR,0,-0.146749973297,-0.097214639187,-0.518047213554
38,3.330285549164,0,FL,0,0.341319143772,0.077126085758,-0.513462901115
38,3.330285549164,3,RR,0,-0.254527509212,-0.094027340412,-0.518471002579
39,3.432174444199,0,FL,0,0.275365918875,0.078371115029,-0.518909454346
39,3.432174444199,3,RR,0,-0.321260750294,-0.093169987202,-0.524559080601
40,3.545368194580,0,FL,0,0.175577029586,0.079507641494,-0.514553785324
40,3.545368194580,3,RR,0,-0.421827107668,-0.091826029122,-0.519255697727
41,3.576236724854,0,FL,0,0.126485392451,0.078058414161,-0.508986532688
41,3.576236724854,1,FR,1,0.469338238239,-0.080851346254,-0.513671457767
41,3.576236724854,3,RR,0,-0.470048069954,-0.093286238611,-0.512697517872
42,3.586417913437,1,FR,0,0.456933230162,-0.083423569798,-0.515357971191
42,3.586417913437,2,RL,1,-0.139170736074,0.089078202844,-0.514939367771
43,3.686972141266,1,FR,0,0.360760271549,-0.082866348326,-0.511335015297
43,3.686972141266,2,RL,0,-0.236203342676,0.088302269578,-0.516070723534
44,3.792428970337,1,FR,0,0.282372891903,-0.086881726980,-0.516821980476
44,3.792428970337,2,RL,0,-0.314531743526,0.085773378611,-0.521485328674
45,3.901801586151,1,FR,0,0.177489146590,-0.090511366725,-0.512906670570
45,3.901801586151,2,RL,0,-0.419155120850,0.081935197115,-0.517059981823
46,3.970443964005,0,FL,1,0.460032880306,0.083118736744,-0.509272336960
46,3.970443964005,3,RR,1,-0.139102309942,-0.088956192136,-0.516311764717
47,4.073482513428,0,FL,0,0.344816267490,0.082864493132,-0.510709404945
47,4.073482513428,3,RR,0,-0.254187285900,-0.089404925704,-0.519911229610
48,4.173671960831,0,FL,0,0.270932048559,0.083998411894,-0.517748713493
48,4.173671960831,3,RR,0,-0.329014003277,-0.089129716158,-0.526282668114
49,4.293557882309,0,FL,0,0.173850372434,0.084447488189,-0.513617038727
49,4.293557882309,3,RR,0,-0.426630854607,-0.088242098689,-0.520126104355
50,4.313242673874,1,FR,1,0.460639446974,-0.083195745945,-0.515076518059
50,4.313242673874,2,RL,1,-0.133844107389,0.086597979069,-0.512969493866
51,4.424276113510,1,FR,0,0.359409540892,-0.083618789911,-0.513104557991
51,4.424276113510,2,RL,0,-0.234333753586,0.087395176291,-0.513731718063
52,4.529042482376,1,FR,0,0.279670953751,-0.085348710418,-0.518685698509
52,4.529042482376,2,RL,0,-0.313850522041,0.086671799421,-0.519165992737
53,4.629502534866,1,FR,0,0.195400565863,-0.088222905993,-0.516256093979
53,4.629502534866,2,RL,0,-0.398044288158,0.084349066019,-0.517533719540
54,4.705015897751,0,FL,1,0.445762157440,0.078366190195,-0.513840377331
54,4.705015897751,3,RR,1,-0.151744872332,-0.095864273608,-0.519767582417
55,4.816786527634,0,FL,0,0.341267317533,0.077996581793,-0.515646100044
55,4.816786527634,3,RR,0,-0.254704475403,-0.092953853309,-0.520326733589
56,4.921674728394,0,FL,0,0.244627773762,0.082986965775,-0.521466851234
56,4.921674728394,3,RR,0,-0.352477490902,-0.089204758406,-0.525957465172
57,5.025574207306,0,FL,0,0.150822773576,0.083157569170,-0.514109730721
57,5.025574207306,3,RR,0,-0.446249604225,-0.088392734528,-0.517612814903
58,5.053872823715,0,FL,0,0.120785176754,0.083147853613,-0.510236799717
58,5.053872823715,1,FR,1,0.466369032860,-0.089077495039,-0.516322195530
58,5.053872823715,3,RR,0,-0.476198136806,-0.089156478643,-0.513285338879
59,5.058543205261,1,FR,0,0.456567108631,-0.091387405992,-0.517301619053
59,5.058543205261,2,RL,1,-0.137741923332,0.081380605698,-0.514245986938
60,5.172196388245,1,FR,0,0.359316229820,-0.088691465557,-0.513745844364
60,5.172196388245,2,RL,0,-0.234553754330,0.083159014583,-0.514270305634
61,5.276432275772,1,FR,0,0.270723998547,-0.091048970819,-0.518896460533
61,5.276432275772,2,RL,0,-0.322482168674,0.082848869264,-0.520004928112
62,5.379701375961,1,FR,0,0.188141912222,-0.092003762722,-0.515025019646
62,5.379701375961,2,RL,0,-0.405459523201,0.081175923347,-0.517250180244
63,5.421106100082,0,FL,1,0.468433350325,0.075583398342,-0.507964730263
63,5.421106100082,1,FR,0,0.130640000105,-0.090874463320,-0.509101033211
63,5.421106100082,2,RL,0,-0.462018668652,0.083224475384,-0.510653376579
64,5.432572126389,0,FL,0,0.458993822336,0.078881099820,-0.507627904415
64,5.432572126389,3,RR,1,-0.139167696238,-0.093669638038,-0.515324175358
65,5.555489778519,0,FL,0,0.369830489159,0.080679237843,-0.506328523159
65,5.555489778519,3,RR,0,-0.228904515505,-0.091425195336,-0.516707062721
66,5.663444042206,0,FL,0,0.263150334358,0.083209000528,-0.515421390533
66,5.663444042206,3,RR,0,-0.336546331644,-0.090658977628,-0.525572717190
67,5.772136211395,0,FL,0,0.162948414683,0.085709430277,-0.510072708130
67,5.772136211395,3,RR,0,-0.436966657639,-0.090932846069,-0.516028046608
68,5.784477233887,0,FL,0,0.146730348468,0.087825030088,-0.507569074631
68,5.784477233887,1,FR,1,0.450717985630,-0.107956014574,-0.509875893593
68,5.784477233887,3,RR,0,-0.452902019024,-0.088016539812,-0.515679836273
69,5.803535223007,1,FR,0,0.440457284451,-0.105968914926,-0.510413348675
69,5.803535223007,2,RL,1,-0.155432343483,0.067489832640,-0.511323809624
70,5.908752441406,1,FR,0,0.356366336346,-0.104404158890,-0.511417210102
70,5.908752441406,2,RL,0,-0.238539069891,0.069141574204,-0.513301014900
71,6.013909816742,1,FR,0,0.298972129822,-0.107494510710,-0.516258358955
71,6.013909816742,2,RL,0,-0.295708060265,0.067850537598,-0.517969131470
72,6.115284204483,1,FR,0,0.236655399203,-0.110446400940,-0.516039609909
72,6.115284204483,2,RL,0,-0.357736349106,0.065642789006,-0.516999125481
73,6.207025051117,0,FL,1,0.400981366634,0.094804227352,-0.510663211346
73,6.207025051117,3,RR,1,-0.195951133966,-0.081480242312,-0.520303487778
74,6.319607019424,0,FL,0,0.316949039698,0.088646002114,-0.514949262142
74,6.319607019424,3,RR,0,-0.279036462307,-0.083536274731,-0.523077011108
75,6.422206878662,0,FL,0,0.266485571861,0.086000800133,-0.516883015633
75,6.422206878662,3,RR,0,-0.331035673618,-0.088402450085,-0.523932874203
